ch |    x16 |   x10 |
---------------------
aa | 0x6161 | 24929 |
ab | 0x6261 | 25185 |
ac | 0x6361 | 25441 |
ad | 0x6461 | 25697 |
ae | 0x6561 | 25953 |
af | 0x6661 | 26209 |
ag | 0x6761 | 26465 |
ah | 0x6861 | 26721 |
ai | 0x6961 | 26977 |
aj | 0x6a61 | 27233 |
ak | 0x6b61 | 27489 |
al | 0x6c61 | 27745 |
am | 0x6d61 | 28001 |
an | 0x6e61 | 28257 |
ao | 0x6f61 | 28513 |
ap | 0x7061 | 28769 |
aq | 0x7161 | 29025 |
ar | 0x7261 | 29281 |
as | 0x7361 | 29537 |
at | 0x7461 | 29793 |
au | 0x7561 | 30049 |
av | 0x7661 | 30305 |
aw | 0x7761 | 30561 |
ax | 0x7861 | 30817 |
ay | 0x7961 | 31073 |
az | 0x7a61 | 31329 |
ba | 0x6162 | 24930 |
bb | 0x6262 | 25186 |
bc | 0x6362 | 25442 |
bd | 0x6462 | 25698 |
be | 0x6562 | 25954 |
bf | 0x6662 | 26210 |
bg | 0x6762 | 26466 |
bh | 0x6862 | 26722 |
bi | 0x6962 | 26978 |
bj | 0x6a62 | 27234 |
bk | 0x6b62 | 27490 |
bl | 0x6c62 | 27746 |
bm | 0x6d62 | 28002 |
bn | 0x6e62 | 28258 |
bo | 0x6f62 | 28514 |
bp | 0x7062 | 28770 |
bq | 0x7162 | 29026 |
br | 0x7262 | 29282 |
bs | 0x7362 | 29538 |
bt | 0x7462 | 29794 |
bu | 0x7562 | 30050 |
bv | 0x7662 | 30306 |
bw | 0x7762 | 30562 |
bx | 0x7862 | 30818 |
by | 0x7962 | 31074 |
bz | 0x7a62 | 31330 |
ca | 0x6163 | 24931 |
cb | 0x6263 | 25187 |
cc | 0x6363 | 25443 |
cd | 0x6463 | 25699 |
ce | 0x6563 | 25955 |
cf | 0x6663 | 26211 |
cg | 0x6763 | 26467 |
ch | 0x6863 | 26723 |
ci | 0x6963 | 26979 |
cj | 0x6a63 | 27235 |
ck | 0x6b63 | 27491 |
cl | 0x6c63 | 27747 |
cm | 0x6d63 | 28003 |
cn | 0x6e63 | 28259 |
co | 0x6f63 | 28515 |
